word,definition
CALCOLATRICE,Una macchina del contabile
RENDICONTO,Relazione contabile
MOTO PERPETUO,L'utopia che si vorrebbe applicare a una macchina
TRINCIAFORAGGI,La macchina agricola per tagliare il fieno
CALCOLATRICE,Una versione aggiornata... del pallottoliere
CALCOLATRICE,Ci aiuta a fare i conti
CALCOLATRICE,Ci aiuta nel fare complicate operazioni
COMPUTISTA,"Contabile, ragioniere"
MESCOLATRICE,Una macchina edile munita di pale
LO,I confini del Lesotho
SPA,Una sigla da logo societario
SCIATORI,"Prima di scendere, decidono che pista affrontare"
POLLAI,Gli allevamenti di galline
IDA,La Magli antropologa
CARY,Un Grant del cinema
ABETONE,Località per gli sciatori toscani
ROSASPINA,Il nome della Bella addormentata nel bosco dei fratelli Grimm
REUMI,Dolori articolari
RESINA,Aromatizza l'aria delle pinete
RIBADOCCHINO,Antico cannoncino con una o più canne
RENDICONTO,Relazione amministrativa
RENDICONTO,Una relazione di carattere finanziario
RENDICONTO,"Ogni anno c'è quello ""generale dello stato"""
PAPER,Una relazione accademica
RAG,Un tecnico contabile
TENACE,"Persistente, fermo"
INTERISTI,Fanno il tifo al Meazza
GUAITI,Lamenti di cani
SACCHEGGI,Assalti a depositi di viveri
CORRIDOIO,Lungo e stretto vano di disimpegno
GAVITELLI,Boe d'ormeggio
ANCIRANE,Le Turche native di Ankara
IDRODINAMICA,La parte della fisica che studia il moto dei liquidi
OBIETTIVO,Nella macchina fotografica
RATINATRICE,Macchina per arricciare il pelo di certe stoffe
SPATOLATURA,La tecnica per applicare lo stucco veneziano
GRANCHIO,Il crostaceo che nessuno vorrebbe mai prendere
TRANCIARE,Tagliare una lamiera con una macchina
MORO,Il Tommaso dell'Utopia
OMOGENEI,Lo sono i miscugli di ingredienti affini
VACANTE,Lo è il posto senza titolare
PARANCO,Complesso di carrucole
FOÀ,Un indimenticabile Arnoldo
VERGINE,Tra il Leone e la Bilancia
TRITTICO,Pittura divisa in tre parti
TIP,Un nipotino di Topolino
FIENAIA,Una falce dal lungo manico
COLTELLO A RUOTA,Un utensile per tagliare tessuti
TRANCE,Per tagliare le lamiere
TRINCIAFORAGGI,Una macchina agricola
TRINCIAFORAGGI,Macchine che tagliano il fieno da dare ai bovini
TRINCIAFORAGGI,Macchina per tagliare il fieno e la paglia
BARBA,La mattina si può tagliare col rasoio elettrico
ALTERNATORE,Macchina rotante che genera corrente
BESTIE,Gli animali nell'azienda agricola
GREPPIA,La rastrelliera per il fieno nelle stalle
SEBASTIANO DEL PIOMBO,Dipinse una celebre Resurrezione di Lazzaro
COPRICAPO,È fatto per la testa
BRINA,La rugiada sotto zero
LIUTO,Assomigliava alla chitarra
CIRCUMNAVIGAZIONE,Un lungo viaggio per mare intorno al mondo
GOL,A volte ne basta uno per vincere
ANGSTROM,Unità di misura per lunghezze d'onda
ABACO,L'antico pallottoliere
ACANTO,Una pianta ornamentale
CALCOLATRICE,Si dice di una fredda e interessata
ABACO,Antenato del pallottoliere
MODERNA,"Attuale, aggiornata"
CUT,Director's __: la versione di un film voluta dal regista
PRESTIGIATORE,Uno molto conosciuto è Silvan
CANOE,Si spingono con le pagaie
NEIN,Il no a Francoforte
MATELICA,Comune del Maceratese
RAIS,Era il capo della tonnara
CIOCCOLATO FONDENTE,Se ne fanno squisite tavolette... amare
ANTRACE,È detto anche carbonchio
CURA CLIMATICA,Il cambio d'aria che aiuta la guarigione
TAPIS ROULANT,Aiuta la consegna bagagli
CIRANO DI BERGERAC,Aiuta Cristiano a conquistare Rossana
CALCOLATRICE,Aiuta a far di conto
CALCOLATRICE,Quella scientifica prevede diverse funzioni matematiche
CALCOLATRICE,Ci evita di ricordare le tabelline
CALCOLATRICI,Ci aiutano a fare i conti
MAREA,Quella alta aiuta a disincagliare
COSETTA,Quello che chi è in ritardo ha sempre da fare!
ITALIANA,La canzone che ha il suo Festival a Sanremo
YUAN,Moneta della Cina
CORTEI,Le sfilate di manifestanti
BIO,La vita nei prefissi
IRE,Si sollevano offendendo
VOLGARI,"Triviali, sboccati"
CONTAGIARE,Trasmettere una malattia
CRANIOTOMIE,Operazioni da neurochirurgo
DISCALCULICI,Hanno serie difficoltà a eseguire le operazioni matematiche
CALCOLATRICE,Pascal ne ideò una
COLATE,Operazioni da fonditori
CAVILLARE,Sottilizzare con argomentazioni complicate
ASTA,Aiuta a spiccare alti salti
SCARICABARILE,Fare a __ = rigettare le colpe
ARPISTI,Pizzicano il loro strumento
EREDE,Subentra nella proprietà
PRONOSTICI,Li azzardano i totocalcisti
SOGLIOLE,Sono gustose preparate alla mugnaia
COOL,Il jazz in contrapposizione all'hot
PARLAMENTO,Esercita il potere legislativo
GARDENA,La valle di Ortisei
CONQUISTA,Una vittoriosa operazione bellica
CONCA D'ORO,Circonda Palermo
DIPLOMA,Si rilascia al ragioniere
TRAPASSATO,Il remoto più remoto
PATTUMIERA,Cassetta per l'immondizia
CICLOTURISTI,Girano il mondo pedalando
CIR,Holding industriale di Piazza Affari
DISATTESI,Lo sono gli ordini inevasi
ATTA,"Idonea, capace"
PENTATHLON,__ moderno: comprende equitazione e scherma
FILETTATRICE,Una macchina per fare viti
GELATIERA,La macchina per fare i sorbetti
ACCA,In macchina è muta
TRICHECO,Una foca munita di zanne
GRU,Svetta nel cantiere edile
VANGHE,Le pale dei contadini
WELTANSCHAUUNG,La visione del mondo propria di un individuo
LAMANTINO,Il grosso mammifero dei fiumi sudamericani
WIELAND,Scrisse il poema Oberon
USURAIO,Un infame profittatore
HALE-BOPP,La cometa che nel 1997 ha sfiorato la Terra
ZENONE,Il filosofo greco che originò lo stoicismo
CANNONE,Grosso pezzo di artiglieria
MASERU,Vi ha sede il re del Lesotho
REPUBBLICA SUDAFRICANA,Ingloba il Lesotho
LESOTHO,Lo stato interamente compreso nel Sudafrica
LO,Il malore nel cuore
LO,"L'inizio del ""Lohengrin"""
LO,Fine di spettacolo
MASERU,La capitale del Lesotho
DEMARCATA,Fissata... nei confini
SUOI,I parenti del coniuge
LINI,Pregiati tessuti
LINI,Un tempo fasciavano i neonati
LINI,Lenzuola e biancheria
LINI,Avvolgevano i neonati
LIME,Rodono ad ogni passata
LIGI,Scrupolosi
SCOOP,Un film di Woody Allen
SPA,Le zone wellness in hotel
ATM,Una sigla da Bancomat
GSM,Fa funzionare i telefonini (sigla)
ULTRAVIOLETTO,È indicato dalla sigla UV
SAS,Una sigla per le società
SPA,Circuito belga di Formula 1
SPA,Centro benessere in hotel
ORGANO,Quello societario è formato dallo staff di dirigenti
CEI,L'organo che riunisce tutti i vescovi italiani (sigla)
LACOSTE,Ha come logo un coccodrillo
TORINO,Ha un ricco Museo Egizio
SELZ,Sprizza dai sifoni
IRRETIRE,Attrarre con lusinghe
CARELIA,La regione con il lago Onega
SLALOMISTI,Scendono tra i pali
WATERPOLO,La pallanuoto in Inghilterra
CHAPITEAU,Il grosso tendone sulla pista di un circo
SCIATORI,Affrontano anche piste nere
SCIATORI,I più esperti percorrono piste nere
SCIATORI,Decidono che pista affrontare
CURVA,Si deve affrontare con prudenza
SCI,Si montano per scendere
SORTI,Quelle d'una battaglia si decidono alla fine
GIRO,Si fa intorno alla pista
QUASAR,Astri dall'eccezionale luminosità
GIUBBE,Contraddistinguono i fantini
APPARATO RESPIRATORIO,"Comprende naso, faringe, laringe e bronchi"
TROTICOLTORI,Gestiscono allevamenti di pesci d'acqua dolce
BANTAM,Una razza di galline nane
PORTE ENFANT,Un sacco per bebè
POLLAI,Luoghi riservati a galli e galline
POLLAI,Allevamenti di pulcini
POLLAI,Recinti per galline
ZOOTECNIA,Si pratica negli allevamenti
AIE,I cortili con oche e galline
LAOTIANI,Gli Asiatici di Vientiane
TELAI,Macchine tessili
CALAF,Lo ama Liù
EXIT POLL,Il sondaggio che viene effettuato all'uscita dei seggi
CRANIOLOGIA,La branca che studia la struttura delle teste
ERGONOMIA,La scienza che studia come rendere migliore l'ambiente di lavoro
L'ISOLA MISTERIOSA,Un romanzo di Verne
IDA,La Di Benedetto attrice
IDA,Il nome dell'attrice Di Benedetto
IDA,Il monte vicino a Troia
IDA,La Magli antropologa e filosofia
MANCINA,È più destra con la sinistra
BISNONNO,Il vecchio con il pronipote
LI,La sigla del lino
JEEP,Un'auto da fuoristrada
NIRANO,"Salse di __, piccoli vulcani di fango nel Modenese"
FARRELL,"Colin __, popolare attore"
STUNTMAN,Il cascatore del cinema
TORTE IN FACCIA,Un genere comico del cinema muto
CARY,Il Grant di Caccia al ladro
CARY,"__ Grant, mitico divo"
CARY,"__ Grant, divo del passato"
CRITICO,Va al cinema per lavoro
HILL,"Notting __, film con Hugh Grant e Julia Roberts"
TODI,È vicina a Spoleto
EX,Sta per già
ONICE,Pietra da cammei
FOÀ,L'Arnoldo attore teatrale
OCULATA,"Circospetta, cauta"
MONTE AMIATA,Si eleva tra le province di Siena e Grosseto
CHILOMETRO LANCIATO,Lo percorrono gli sciatori più veloci
OVOVIA,Ha piccole cabine a due posti per gli sciatori
BERGEGGI,Località presso Savona nota per l'isoletta con la grotta
ABETONE,Centro turistico del Pistoiese
FUTA,Un passo dell'Appennino tosco-emiliano
ABETONE,Centro invernale in provincia di Pistoia
MONTE AMIATA,Ha importanti giacimenti di mercurio
ABETONE,È meta di molti sciatori toscani
SETTIMANA BIANCA,Una vacanza per sciatori
GALLIPOLI,Bella località turistica del Salento sullo Ionio
